        datetime    open    high     low   close    MA20  ENE_UP  ENE_LOW     ENE  sell  buy   op  open_price  keep  cash_open  hold  avg_price  cash_left      val
0     2014-01-02   3.356   3.367   3.320   3.341   3.545   3.772    3.092   3.432   NaN  NaN  NaN         NaN   0.0    30000.0     0      0.000    30000.0  30000.0
1     2014-01-03   3.341   3.341   3.247   3.257   3.506   3.736    3.063   3.400   NaN  NaN  NaN         NaN   0.0    30000.0     0      0.000    30000.0  30000.0
2     2014-01-06   3.267   3.267   3.069   3.085   3.470   3.686    3.022   3.354   NaN  NaN  NaN         NaN   0.0    30000.0     0      0.000    30000.0  30000.0
3     2014-01-07   3.085   3.132   3.053   3.074   3.434   3.651    2.993   3.322   NaN  NaN  NaN         NaN   0.0    30000.0     0      0.000    30000.0  30000.0
4     2014-01-08   3.080   3.121   3.053   3.074   3.401   3.613    2.962   3.288   NaN  NaN  NaN         NaN   0.0    30000.0     0      0.000    30000.0  30000.0
5     2014-01-09   3.074   3.132   3.059   3.095   3.375   3.576    2.932   3.254   NaN  NaN  NaN         NaN   0.0    30000.0     0      0.000    30000.0  30000.0
6     2014-01-10   3.090   3.095   2.986   2.986   3.342   3.541    2.903   3.222   NaN  NaN  NaN         NaN   0.0    30000.0     0      0.000    30000.0  30000.0
7     2014-01-13   2.975   3.043   2.933   2.975   3.311   3.502    2.871   3.187   NaN  NaN  NaN         NaN   0.0    30000.0     0      0.000    30000.0  30000.0
8     2014-01-14   2.991   3.022   2.949   3.022   3.285   3.472    2.846   3.159   NaN  NaN  NaN         NaN   0.0    30000.0     0      0.000    30000.0  30000.0
9     2014-01-15   3.022   3.106   3.001   3.085   3.260   3.440    2.820   3.130   NaN  NaN  NaN         NaN   0.0    30000.0     0      0.000    30000.0  30000.0
10    2014-01-16   3.106   3.309   3.100   3.257   3.244   3.431    2.813   3.122   NaN  1.0  NaN         NaN   0.0    30000.0     0      0.000    30000.0  30000.0
11    2014-01-17   3.247   3.252   3.137   3.147   3.223   3.419    2.803   3.111   NaN  NaN  1.0       3.247   1.0    30000.0  3000      3.247    20259.0  29700.0
12    2014-01-20   3.174   3.174   3.074   3.080   3.200   3.418    2.802   3.110   NaN  NaN  NaN       3.247   1.0    30000.0     0      0.000    30000.0  30000.0
13    2014-01-21   3.080   3.168   3.059   3.147   3.188   3.427    2.809   3.118   NaN  1.0  NaN       3.247   1.0    30000.0     0      0.000    30000.0  30000.0
14    2014-01-22   3.153   3.226   3.116   3.205   3.178   3.441    2.821   3.131   NaN  NaN  1.0       3.153   1.0    30000.0  4700      3.153    15180.9  30244.4
15    2014-01-23   3.189   3.231   3.147   3.174   3.165   3.450    2.828   3.139   NaN  NaN  NaN       3.153   1.0    30000.0     0      0.000    30000.0  30000.0
16    2014-01-24   3.001   3.106   2.855   3.074   3.153   3.460    2.836   3.148   NaN  NaN  NaN       3.153   1.0    30000.0     0      0.000    30000.0  30000.0
17    2014-01-27   2.970   3.038   2.923   2.965   3.135   3.459    2.836   3.147   NaN  NaN  NaN       3.153   1.0    30000.0     0      0.000    30000.0  30000.0
18    2014-01-28   2.975   2.996   2.902   2.923   3.117   3.448    2.826   3.137   NaN  NaN  NaN       3.153   1.0    30000.0     0      0.000    30000.0  30000.0
19    2014-01-29   2.918   2.960   2.876   2.886   3.093   3.425    2.808   3.117   NaN  NaN  NaN       3.153   1.0    30000.0     0      0.000    30000.0  30000.0
20    2014-01-30   2.886   2.913   2.866   2.897   3.070   3.386    2.776   3.080   NaN  NaN  NaN       3.153   1.0    30000.0     0      0.000    30000.0  30000.0
21    2014-02-07   2.897   2.944   2.886   2.933   3.054   3.361    2.755   3.058   NaN  NaN  NaN       3.153   1.0    30000.0     0      0.000    30000.0  30000.0
22    2014-02-10   2.933   3.053   2.933   3.038   3.052   3.357    2.752   3.054   NaN  NaN  NaN       3.153   1.0    30000.0     0      0.000    30000.0  30000.0
